Aplicativo,Tipo de Falha,Critério WCAG,Nível,Número de Ocorrências,Percentual (%)
2048 Original_3.5_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,3,15.0
2048 Original_3.5_APKPure,Missing Content Description,1.1.1 Non-text Content,A,1,5.0
2048 Original_3.5_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,6,30.0
2048 Original_3.5_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,2,10.0
2048 Original_3.5_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,4,20.0
2048 Original_3.5_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,4,20.0
addy.io,Resize Text - insufficient increase,1.4.4 Resize Text,AA,13,36.11
addy.io,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,13,36.11
addy.io,Overlapping Elements,1.4.12 Text Spacing,AA,3,8.33
addy.io,Contrast Failure,1.4.3 Contrast (Minimum),AA,7,19.44
Algebraix_3.3.1_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,5,5.38
Algebraix_3.3.1_APKPure,Error Message Detected,3.3.1 Error Identification,A,6,6.45
Algebraix_3.3.1_APKPure,Missing Label or Instruction,3.3.2 Labels or Instructions,A,3,3.23
Algebraix_3.3.1_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,8,8.6
Algebraix_3.3.1_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,35,37.63
Algebraix_3.3.1_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,35,37.63
Algebraix_3.3.1_APKPure,Gesture-Only Navigation,2.5.1 Pointer Gestures,A,1,1.08
Aneko,Contrast Failure,1.4.3 Contrast (Minimum),AA,3,3.57
Aneko,Missing Accessible Name,"4.1.2 Name, Role, Value",A,16,19.05
Aneko,Resize Text - insufficient increase,1.4.4 Resize Text,AA,31,36.9
Aneko,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,31,36.9
Aneko,Non-essential Content Description Should Be Empty,1.1.1 Non-text Content,A,1,1.19
Aneko,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,1,1.19
Aneko,Gesture-Only Navigation,2.5.1 Pointer Gestures,A,1,1.19
AnkiDroid,Resize Text - insufficient increase,1.4.4 Resize Text,AA,12,37.5
AnkiDroid,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,12,37.5
AnkiDroid,Missing Content Description,1.1.1 Non-text Content,A,3,9.38
AnkiDroid,Missing Accessible Name,"4.1.2 Name, Role, Value",A,3,9.38
AnkiDroid,Contrast Failure,1.4.3 Contrast (Minimum),AA,1,3.12
AnkiDroid,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,1,3.12
ATK - Maintenance & HSE_56.3_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,1,4.0
ATK - Maintenance & HSE_56.3_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,1,4.0
ATK - Maintenance & HSE_56.3_APKPure,Error Message Detected,3.3.1 Error Identification,A,1,4.0
ATK - Maintenance & HSE_56.3_APKPure,Missing Label or Instruction,3.3.2 Labels or Instructions,A,2,8.0
ATK - Maintenance & HSE_56.3_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,10,40.0
ATK - Maintenance & HSE_56.3_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,10,40.0
audile,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,3,17.65
audile,Resize Text - insufficient increase,1.4.4 Resize Text,AA,6,35.29
audile,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,6,35.29
audile,Contrast Failure,1.4.3 Contrast (Minimum),AA,1,5.88
audile,Gesture-Only Navigation,2.5.1 Pointer Gestures,A,1,5.88
AudioShare,Contrast Failure,1.4.3 Contrast (Minimum),AA,3,5.08
AudioShare,Missing Accessible Name,"4.1.2 Name, Role, Value",A,3,5.08
AudioShare,Error Message Detected,3.3.1 Error Identification,A,6,10.17
AudioShare,Missing Label or Instruction,3.3.2 Labels or Instructions,A,3,5.08
AudioShare,Resize Text - insufficient increase,1.4.4 Resize Text,AA,21,35.59
AudioShare,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,21,35.59
AudioShare,Gesture-Only Navigation,2.5.1 Pointer Gestures,A,2,3.39
Aurora Store_4.7.0_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,2,4.65
Aurora Store_4.7.0_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,8,18.6
Aurora Store_4.7.0_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,15,34.88
Aurora Store_4.7.0_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,15,34.88
Aurora Store_4.7.0_APKPure,Duplicate Text,3.2.4 Consistent Identification,AA,3,6.98
Avee Music Player (Pro)_1.2.248_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,5,38.46
Avee Music Player (Pro)_1.2.248_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,1,7.69
Avee Music Player (Pro)_1.2.248_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,3,23.08
Avee Music Player (Pro)_1.2.248_APKPure,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,1,7.69
Avee Music Player (Pro)_1.2.248_APKPure,Gesture-Only Navigation,2.5.1 Pointer Gestures,A,2,15.38
Avee Music Player (Pro)_1.2.248_APKPure,Duplicate Text,3.2.4 Consistent Identification,AA,1,7.69
Background Apps & Process List_APKPure,Missing Content Description,1.1.1 Non-text Content,A,2,6.25
Background Apps & Process List_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,2,6.25
Background Apps & Process List_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,4,12.5
Background Apps & Process List_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,12,37.5
Background Apps & Process List_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,12,37.5
Bangumi,Resize Text - insufficient increase,1.4.4 Resize Text,AA,2,7.41
Bangumi,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,10,37.04
Bangumi,Missing Label or Instruction,3.3.2 Labels or Instructions,A,1,3.7
Bangumi,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,10,37.04
Bangumi,Gesture-Only Navigation,2.5.1 Pointer Gestures,A,2,7.41
Bangumi,Duplicate Text,3.2.4 Consistent Identification,AA,2,7.41
Based_Cooking,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,5,100.0
Bike Computer - Your Personal _1.8.4.2_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,6,9.09
Bike Computer - Your Personal _1.8.4.2_APKPure,Duplicate Text,3.2.4 Consistent Identification,AA,2,3.03
Bike Computer - Your Personal _1.8.4.2_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,21,31.82
Bike Computer - Your Personal _1.8.4.2_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,21,31.82
Bike Computer - Your Personal _1.8.4.2_APKPure,Missing Content Description,1.1.1 Non-text Content,A,7,10.61
Bike Computer - Your Personal _1.8.4.2_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,6,9.09
Bike Computer - Your Personal _1.8.4.2_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,3,4.55
Bilheteria Digital_3.0.51_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,3,2.91
Bilheteria Digital_3.0.51_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,3,2.91
Bilheteria Digital_3.0.51_APKPure,Error Message Detected,3.3.1 Error Identification,A,1,0.97
Bilheteria Digital_3.0.51_APKPure,Missing Label or Instruction,3.3.2 Labels or Instructions,A,1,0.97
Bilheteria Digital_3.0.51_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,17,16.5
Bilheteria Digital_3.0.51_APKPure,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,12,11.65
Bilheteria Digital_3.0.51_APKPure,Gesture-Only Navigation,2.5.1 Pointer Gestures,A,10,9.71
Bilheteria Digital_3.0.51_APKPure,Duplicate Text,3.2.4 Consistent Identification,AA,2,1.94
Bilheteria Digital_3.0.51_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,27,26.21
Bilheteria Digital_3.0.51_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,27,26.21
Binary_Eye,Resize Text - insufficient increase,1.4.4 Resize Text,AA,20,37.74
Binary_Eye,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,20,37.74
Binary_Eye,Missing Accessible Name,"4.1.2 Name, Role, Value",A,4,7.55
Binary_Eye,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,6,11.32
Binary_Eye,Missing Content Description,1.1.1 Non-text Content,A,3,5.66
BingX_Trade_BTC_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,7,7.0
BingX_Trade_BTC_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,41,41.0
BingX_Trade_BTC_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,29,29.0
BingX_Trade_BTC_APKPure,Missing Content Description,1.1.1 Non-text Content,A,7,7.0
BingX_Trade_BTC_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,7,7.0
BingX_Trade_BTC_APKPure,Missing Label or Instruction,3.3.2 Labels or Instructions,A,3,3.0
BingX_Trade_BTC_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,4,4.0
BingX_Trade_BTC_APKPure,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,2,2.0
Book's_Story,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,11,7.64
Book's_Story,Gesture-Only Navigation,2.5.1 Pointer Gestures,A,6,4.17
Book's_Story,Resize Text - insufficient increase,1.4.4 Resize Text,AA,55,38.19
Book's_Story,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,72,50.0
Boosted Ad Maker by Lightricks_1.8.6.1_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,6,10.91
Boosted Ad Maker by Lightricks_1.8.6.1_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,10,18.18
Boosted Ad Maker by Lightricks_1.8.6.1_APKPure,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,2,3.64
Boosted Ad Maker by Lightricks_1.8.6.1_APKPure,Duplicate Text,3.2.4 Consistent Identification,AA,7,12.73
Boosted Ad Maker by Lightricks_1.8.6.1_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,14,25.45
Boosted Ad Maker by Lightricks_1.8.6.1_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,14,25.45
Boosted Ad Maker by Lightricks_1.8.6.1_APKPure,Missing Content Description,1.1.1 Non-text Content,A,1,1.82
Boosted Ad Maker by Lightricks_1.8.6.1_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,1,1.82
Boosted Time Tracker_1.6.8_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,8,7.27
Boosted Time Tracker_1.6.8_APKPure,Missing Content Description,1.1.1 Non-text Content,A,7,6.36
Boosted Time Tracker_1.6.8_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,7,6.36
Boosted Time Tracker_1.6.8_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,10,9.09
Boosted Time Tracker_1.6.8_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,38,34.55
Boosted Time Tracker_1.6.8_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,38,34.55
Boosted Time Tracker_1.6.8_APKPure,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,2,1.82
Briar_1.5.14_APKPure,Overlapping Elements,1.4.12 Text Spacing,AA,3,10.71
Briar_1.5.14_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,7,25.0
Briar_1.5.14_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,9,32.14
Briar_1.5.14_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,9,32.14
Calculator-inator,Missing Accessible Name,"4.1.2 Name, Role, Value",A,8,14.04
Calculator-inator,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,4,7.02
Calculator-inator,Resize Text - insufficient increase,1.4.4 Resize Text,AA,20,35.09
Calculator-inator,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,19,33.33
Calculator-inator,Gesture-Only Navigation,2.5.1 Pointer Gestures,A,4,7.02
Calculator-inator,Missing Label or Instruction,3.3.2 Labels or Instructions,A,1,1.75
Calculator-inator,Contrast Failure,1.4.3 Contrast (Minimum),AA,1,1.75
Cano_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,4,15.38
Cano_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,3,11.54
Cano_APKPure,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,2,7.69
Cano_APKPure,Duplicate Text,3.2.4 Consistent Identification,AA,1,3.85
Cano_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,8,30.77
Cano_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,8,30.77
Caterer Job Search_272.0.1_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,6,6.25
Caterer Job Search_272.0.1_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,38,39.58
Caterer Job Search_272.0.1_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,38,39.58
Caterer Job Search_272.0.1_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,8,8.33
Caterer Job Search_272.0.1_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,3,3.12
Caterer Job Search_272.0.1_APKPure,Error Message Detected,3.3.1 Error Identification,A,3,3.12
CCC ONE Repair Facility_25.8_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,2,28.57
CCC ONE Repair Facility_25.8_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,1,14.29
CCC ONE Repair Facility_25.8_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,2,28.57
CCC ONE Repair Facility_25.8_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,2,28.57
Cemig Atende_23042025-1800_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,3,6.0
Cemig Atende_23042025-1800_APKPure,Missing Content Description,1.1.1 Non-text Content,A,1,2.0
Cemig Atende_23042025-1800_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,1,2.0
Cemig Atende_23042025-1800_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,6,12.0
Cemig Atende_23042025-1800_APKPure,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,4,8.0
Cemig Atende_23042025-1800_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,16,32.0
Cemig Atende_23042025-1800_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,16,32.0
Cemig Atende_23042025-1800_APKPure,Error Message Detected,3.3.1 Error Identification,A,1,2.0
Cemig Atende_23042025-1800_APKPure,Missing Label or Instruction,3.3.2 Labels or Instructions,A,1,2.0
Cemig Atende_23042025-1800_APKPure,Duplicate Text,3.2.4 Consistent Identification,AA,1,2.0
Cibus Atendente_3.0.5_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,1,8.33
Cibus Atendente_3.0.5_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,1,8.33
Cibus Atendente_3.0.5_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,5,41.67
Cibus Atendente_3.0.5_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,5,41.67
Citrine,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,14,100.0
Coast - Work Orders Schedule_17.4.5_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,6,18.18
Coast - Work Orders Schedule_17.4.5_APKPure,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,5,15.15
Coast - Work Orders Schedule_17.4.5_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,12,36.36
Coast - Work Orders Schedule_17.4.5_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,1,3.03
Coast - Work Orders Schedule_17.4.5_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,9,27.27
Confide - secure messenger_8.0.0_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,6,9.68
Confide - secure messenger_8.0.0_APKPure,Missing Label or Instruction,3.3.2 Labels or Instructions,A,13,20.97
Confide - secure messenger_8.0.0_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,23,37.1
Confide - secure messenger_8.0.0_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,20,32.26
converterNow,Non-essential Content Description Should Be Empty,1.1.1 Non-text Content,A,1,33.33
converterNow,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,1,33.33
converterNow,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,1,33.33
Correio de Sergipe_11_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,14,11.67
Correio de Sergipe_11_APKPure,Gesture-Only Navigation,2.5.1 Pointer Gestures,A,18,15.0
Correio de Sergipe_11_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,37,30.83
Correio de Sergipe_11_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,37,30.83
Correio de Sergipe_11_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,13,10.83
Correio de Sergipe_11_APKPure,Missing Label or Instruction,3.3.2 Labels or Instructions,A,1,0.83
Countdown Timer_3.2_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,2,20.0
Countdown Timer_3.2_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,1,10.0
Countdown Timer_3.2_APKPure,Error Message Detected,3.3.1 Error Identification,A,1,10.0
Countdown Timer_3.2_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,3,30.0
Countdown Timer_3.2_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,3,30.0
Crypto News_ Prices and Alerts_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,2,0.48
Crypto News_ Prices and Alerts_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,194,46.86
Crypto News_ Prices and Alerts_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,194,46.86
Crypto News_ Prices and Alerts_APKPure,Overlapping Elements,1.4.12 Text Spacing,AA,3,0.72
Crypto News_ Prices and Alerts_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,1,0.24
Crypto News_ Prices and Alerts_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,10,2.42
Crypto News_ Prices and Alerts_APKPure,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,9,2.17
Crypto News_ Prices and Alerts_APKPure,Duplicate Text,3.2.4 Consistent Identification,AA,1,0.24
Curb Hero Open House App_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,3,37.5
Curb Hero Open House App_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,3,37.5
Curb Hero Open House App_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,2,25.0
Custom_Uploader,Overlapping Elements,1.4.12 Text Spacing,AA,3,10.71
Custom_Uploader,Contrast Failure,1.4.3 Contrast (Minimum),AA,7,25.0
Custom_Uploader,Resize Text - insufficient increase,1.4.4 Resize Text,AA,9,32.14
Custom_Uploader,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,9,32.14
DailyAL,Overlapping Elements,1.4.12 Text Spacing,AA,3,10.0
DailyAL,Contrast Failure,1.4.3 Contrast (Minimum),AA,7,23.33
DailyAL,Resize Text - insufficient increase,1.4.4 Resize Text,AA,9,30.0
DailyAL,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,9,30.0
DailyAL,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,2,6.67
DailyTube - media player_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,13,17.11
DailyTube - media player_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,25,32.89
DailyTube - media player_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,25,32.89
DailyTube - media player_APKPure,Missing Content Description,1.1.1 Non-text Content,A,2,2.63
DailyTube - media player_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,2,2.63
DailyTube - media player_APKPure,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,9,11.84
Daily_Diary,Missing Accessible Name,"4.1.2 Name, Role, Value",A,8,44.44
Daily_Diary,Missing Label or Instruction,3.3.2 Labels or Instructions,A,3,16.67
Daily_Diary,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,5,27.78
Daily_Diary,Resize Text - insufficient increase,1.4.4 Resize Text,AA,1,5.56
Daily_Diary,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,1,5.56
DanXi,Missing Accessible Name,"4.1.2 Name, Role, Value",A,2,22.22
DanXi,Missing Label or Instruction,3.3.2 Labels or Instructions,A,2,22.22
DanXi,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,4,44.44
DanXi,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,1,11.11
Dash_Wallet,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,8,34.78
Dash_Wallet,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,3,13.04
Dash_Wallet,Resize Text - insufficient increase,1.4.4 Resize Text,AA,5,21.74
Dash_Wallet,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,5,21.74
Dash_Wallet,Missing Content Description,1.1.1 Non-text Content,A,1,4.35
Dash_Wallet,Missing Accessible Name,"4.1.2 Name, Role, Value",A,1,4.35
Degoo_ 20 GB Cloud Storage_1.57.182.241025_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,14,22.22
Degoo_ 20 GB Cloud Storage_1.57.182.241025_APKPure,Missing Content Description,1.1.1 Non-text Content,A,11,17.46
Degoo_ 20 GB Cloud Storage_1.57.182.241025_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,11,17.46
Degoo_ 20 GB Cloud Storage_1.57.182.241025_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,18,28.57
Degoo_ 20 GB Cloud Storage_1.57.182.241025_APKPure,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,4,6.35
Degoo_ 20 GB Cloud Storage_1.57.182.241025_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,5,7.94
Delo_4.1.0_APKPure,Non-essential Content Description Should Be Empty,1.1.1 Non-text Content,A,1,1.23
Delo_4.1.0_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,29,35.8
Delo_4.1.0_APKPure,Overlapping Elements,1.4.12 Text Spacing,AA,3,3.7
Delo_4.1.0_APKPure,Missing Label or Instruction,3.3.2 Labels or Instructions,A,3,3.7
Delo_4.1.0_APKPure,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,6,7.41
Delo_4.1.0_APKPure,Gesture-Only Navigation,2.5.1 Pointer Gestures,A,2,2.47
Delo_4.1.0_APKPure,Duplicate Text,3.2.4 Consistent Identification,AA,2,2.47
Delo_4.1.0_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,14,17.28
Delo_4.1.0_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,14,17.28
Delo_4.1.0_APKPure,Missing Content Description,1.1.1 Non-text Content,A,2,2.47
Delo_4.1.0_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,5,6.17
DesignEvo - Logo Maker_1.0.5_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,2,5.88
DesignEvo - Logo Maker_1.0.5_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,12,35.29
DesignEvo - Logo Maker_1.0.5_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,10,29.41
DesignEvo - Logo Maker_1.0.5_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,10,29.41
Device Info HW_5.21.0_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,12,9.52
Device Info HW_5.21.0_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,35,27.78
Device Info HW_5.21.0_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,6,4.76
Device Info HW_5.21.0_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,33,26.19
Device Info HW_5.21.0_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,33,26.19
Device Info HW_5.21.0_APKPure,Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,2,1.59
Device Info HW_5.21.0_APKPure,Gesture-Only Navigation,2.5.1 Pointer Gestures,A,4,3.17
Device Info HW_5.21.0_APKPure,Duplicate Text,3.2.4 Consistent Identification,AA,1,0.79
Device Info HW_5.21.0_APKPure (1),Resize Text - insufficient increase,1.4.4 Resize Text,AA,34,25.37
Device Info HW_5.21.0_APKPure (1),Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,35,26.12
Device Info HW_5.21.0_APKPure (1),Contrast Failure,1.4.3 Contrast (Minimum),AA,16,11.94
Device Info HW_5.21.0_APKPure (1),Missing Accessible Name,"4.1.2 Name, Role, Value",A,36,26.87
Device Info HW_5.21.0_APKPure (1),Target Size Failure,2.5.5 Target Size (Enhanced),AAA,6,4.48
Device Info HW_5.21.0_APKPure (1),Target Size Failure (Minimum),2.5.8 Target Size (Minimum),AA,2,1.49
Device Info HW_5.21.0_APKPure (1),Gesture-Only Navigation,2.5.1 Pointer Gestures,A,4,2.99
Device Info HW_5.21.0_APKPure (1),Duplicate Text,3.2.4 Consistent Identification,AA,1,0.75
Digital Board_1.0.8_APKPure,Missing Content Description,1.1.1 Non-text Content,A,4,7.69
Digital Board_1.0.8_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,12,23.08
Digital Board_1.0.8_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,6,11.54
Digital Board_1.0.8_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,12,23.08
Digital Board_1.0.8_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,12,23.08
Digital Board_1.0.8_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,1,1.92
Digital Board_1.0.8_APKPure,Gesture-Only Navigation,2.5.1 Pointer Gestures,A,5,9.62
DiskInfo_4.9.9 (build 10)_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,40,22.47
DiskInfo_4.9.9 (build 10)_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,16,8.99
DiskInfo_4.9.9 (build 10)_APKPure,Gesture-Only Navigation,2.5.1 Pointer Gestures,A,32,17.98
DiskInfo_4.9.9 (build 10)_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,48,26.97
DiskInfo_4.9.9 (build 10)_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,42,23.6
Drive Weather With Live Radar_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,33,23.24
